TV_KEY_TECL,APACHE-2.2.15,APACHE-2.4.29,APACHE-2.4.41,APACHE-2.4.57-latest,APACHE-2.4.6,AWS-rakuten.com,AWS-redhat.com,AWS-sony.com,CN-clb.org,CN-www.grandlisboahotels,CN-www.president.gov.tw,CN-www.redcross.org.cn,Cloudflare-cloudflare.com,Cloudflare-creativecommons.org,Cloudflare-tinyurl.com,Cloudflare-vimeo.com,Cloudflare-w3.org,Fastly-behance.com,IR-parsget.com,IR-www.dwturkce.com,IR-www.funpatogh.com,IR-zezito.ir,NGINX-1.14,NGINX-1.18,NGINX-1.21,NGINX-1.22,NGINX-1.25.2-latest,RU-nr2.com.ua,RU-perevedem.ru,RU-www.islamdin.com,RU-www.sotnik-tv.com,RU-www.wonderzine.com,global-instinctmagazine.com,global-www.hackhull.com,global-www.nmrc.org,global-www.sbc.net,Total
CL-contentEnc-CL.TE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
CL-xprespace-09-CL.TE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
CL-xprespace-20-CL.TE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
TE-contentEnc-TE.CL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
TE-xprespace-20-TE.CL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
TE-xprespace-09-TE.CL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
CL-xprespace-a0-CL.TE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
CL-xprespace-ff-CL.TE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
TE-xprespace-ff-TE.CL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33
TE-xprespace-a0-TE.CL,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33
