tv_id,smuggle_url,success,rst,blockpage,timeout_afterhs,timeout_beforehs,other,cn_success_rate
CL-prespace-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-0a-XX-XX-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-underjoin1-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-0a-XX-XX-0a-CL.TE,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-XX-0a-XX-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-endspacexn-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-endspace-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-XX-XX-0a-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
TE-doubleheader-last-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-xnprespace-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-endspacexn-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-prespace-0a-CL.TE,freetibet.org/,100,0,0,0,0,0,1.0
CL-prespace-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-0a-0a-XX-XX-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-endspace-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-0a-XX-0a-XX-CL.TE,freetibet.org/,100,0,0,0,0,0,1.0
CL-0a-0a-XX-XX-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
TE-xnprespace-0a-CL.TE,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-0a-XX-XX-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-0a-XX-0a-XX-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-prespace-0a-CL.TE,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-0a-XX-XX-0a-CL.TE,freetibet.org/,100,0,0,0,0,0,1.0
TE-0a-XX-0a-XX-CL.TE,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-XX-0a-XX-0a-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
TE-doubleheader-last-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-xnprespace-0a-CL.TE,freetibet.org/,100,0,0,0,0,0,1.0
CL-xnprespace-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-0a-0a-XX-XX-CL.TE,www.uyghurnet.org/,100,0,0,0,0,0,1.0
TE-0a-0a-XX-XX-CL.TE,freetibet.org/,100,0,0,0,0,0,1.0
CL-0a-XX-0a-XX-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
CL-XX-XX-0a-0a-TE.CL,www.uyghurnet.org/,100,0,0,0,0,0,1.0
CL-underjoin1-TE.CL,freetibet.org/,100,0,0,0,0,0,1.0
TE-sarcasm-CL.TE,freetibet.org/,34,64,0,2,0,0,0.34
TE-xnprespace-0a-TE.CL,www.uyghurnet.org/,33,66,0,1,0,0,0.33
TE-XX-09-XX-09-CL.TE,freetibet.org/,32,67,0,1,0,0,0.32
TE-postspace-09-CL.TE,freetibet.org/,31,66,0,3,0,0,0.31
TE-XX-20-20-XX-CL.TE,freetibet.org/,31,65,0,4,0,0,0.31
TE-0a-XX-0a-XX-TE.CL,freetibet.org/,31,63,0,6,0,0,0.31
CL-0a-XX-XX-0a-CL.TE,www.uyghurnet.org/,31,65,0,4,0,0,0.31
TE-prespace-0a-TE.CL,freetibet.org/,30,65,0,5,0,0,0.3
CL-0a-XX-0a-XX-CL.TE,freetibet.org/,29,67,0,4,0,0,0.29
TE-0a-XX-XX-0a-TE.CL,www.uyghurnet.org/,29,67,0,4,0,0,0.29
CL-XX-XX-0a-0a-CL.TE,freetibet.org/,28,70,0,2,0,0,0.28
CL-endspace-0a-CL.TE,freetibet.org/,28,70,0,2,0,0,0.28
TE-XX-09-XX-09-CL.TE,www.uyghurnet.org/,28,66,0,6,0,0,0.28
CL-0a-0a-XX-XX-CL.TE,www.uyghurnet.org/,28,71,0,1,0,0,0.28
CL-prespace-0a-CL.TE,www.uyghurnet.org/,28,69,0,3,0,0,0.28
CL-0a-0a-XX-XX-CL.TE,freetibet.org/,27,68,0,5,0,0,0.27
CL-prespace-0a-CL.TE,freetibet.org/,27,67,0,6,0,0,0.27
CL-xnprespace-0a-CL.TE,www.uyghurnet.org/,27,69,0,4,0,0,0.27
CL-endspacexn-0a-CL.TE,freetibet.org/,27,69,0,4,0,0,0.27
CL-XX-XX-0a-0a-CL.TE,www.uyghurnet.org/,26,71,0,3,0,0,0.26
TE-XX-09-09-XX-CL.TE,www.uyghurnet.org/,26,73,0,1,0,0,0.26
TE-yelling-CL.TE,freetibet.org/,25,67,0,8,0,0,0.25
TE-space1-CL.TE,freetibet.org/,25,73,0,2,0,0,0.25
TE-postspace-09-CL.TE,www.uyghurnet.org/,25,73,0,2,0,0,0.25
CL-xnprespace-0a-CL.TE,freetibet.org/,25,74,0,1,0,0,0.25
TE-0a-XX-XX-0a-TE.CL,freetibet.org/,25,70,0,5,0,0,0.25
TE-space1-CL.TE,www.uyghurnet.org/,25,70,0,5,0,0,0.25
TE-XX-20-20-XX-CL.TE,www.uyghurnet.org/,25,71,0,4,0,0,0.25
TE-postspace-20-CL.TE,www.uyghurnet.org/,24,73,0,3,0,0,0.24
TE-yelling-CL.TE,www.uyghurnet.org/,24,74,0,2,0,0,0.24
TE-linewrapped1-CL.TE,freetibet.org/,24,73,0,3,0,0,0.24
CL-0a-XX-XX-0a-CL.TE,freetibet.org/,24,76,0,0,0,0,0.24
TE-XX-20-XX-20-CL.TE,www.uyghurnet.org/,23,74,0,3,0,0,0.23
TE-xnprespace-0a-TE.CL,freetibet.org/,23,71,0,6,0,0,0.23
CL-XX-0a-XX-0a-CL.TE,www.uyghurnet.org/,22,74,0,4,0,0,0.22
TE-XX-09-09-XX-CL.TE,freetibet.org/,22,73,0,5,0,0,0.22
TE-prespace-0a-TE.CL,www.uyghurnet.org/,22,73,0,5,0,0,0.22
TE-0a-0a-XX-XX-TE.CL,freetibet.org/,22,76,0,2,0,0,0.22
TE-sarcasm-CL.TE,www.uyghurnet.org/,22,75,0,3,0,0,0.22
CL-endspacexn-0a-CL.TE,www.uyghurnet.org/,21,76,0,3,0,0,0.21
CL-endspace-0a-CL.TE,www.uyghurnet.org/,21,76,0,3,0,0,0.21
CL-0a-XX-0a-XX-CL.TE,www.uyghurnet.org/,19,79,0,2,0,0,0.19
TE-postspace-20-CL.TE,freetibet.org/,19,77,0,4,0,0,0.19
CL-XX-0a-XX-0a-CL.TE,freetibet.org/,18,82,0,0,0,0,0.18
TE-XX-20-XX-20-CL.TE,freetibet.org/,18,81,0,1,0,0,0.18
TE-linewrapped1-CL.TE,www.uyghurnet.org/,15,81,0,4,0,0,0.15
TE-tabprefix2-CL.TE,www.uyghurnet.org/,14,83,0,3,0,0,0.14
TE-tabprefix2-CL.TE,freetibet.org/,14,84,0,2,0,0,0.14
TE-0a-0a-XX-XX-TE.CL,www.uyghurnet.org/,14,81,0,5,0,0,0.14
TE-0a-XX-0a-XX-TE.CL,www.uyghurnet.org/,14,81,0,5,0,0,0.14
TE-c7-c7-XX-XX-TE.CL,freetibet.org/,4,71,0,25,0,0,0.04
TE-03-XX-XX-03-TE.CL,www.uyghurnet.org/,3,73,0,24,0,0,0.03
TE-ee-ee-XX-XX-TE.CL,www.uyghurnet.org/,3,62,0,35,0,0,0.03
CL-81-81-XX-XX-CL.TE,www.uyghurnet.org/,3,75,0,22,0,0,0.03
TE-XX-b1-XX-b1-TE.CL,freetibet.org/,3,71,0,26,0,0,0.03
CL-XX-b3-b3-XX-CL.TE,www.uyghurnet.org/,3,69,0,28,0,0,0.03
CL-1a-XX-XX-1a-CL.TE,www.uyghurnet.org/,3,76,0,21,0,0,0.03
CL-XX-XX-10-10-CL.TE,freetibet.org/,3,67,0,30,0,0,0.03
CL-prespace-0c-CL.TE,freetibet.org/,3,72,0,25,0,0,0.03
CL-XX-a0-XX-a0-CL.TE,freetibet.org/,3,70,0,27,0,0,0.03
TE-nameprefix1-TE.CL,freetibet.org/,3,74,0,23,0,0,0.03
TE-XX-20-20-XX-TE.CL,www.uyghurnet.org/,2,75,0,23,0,0,0.02
TE-XX-ec-ec-XX-TE.CL,freetibet.org/,2,79,0,19,0,0,0.02
TE-XX-1d-1d-XX-TE.CL,freetibet.org/,2,79,0,19,0,0,0.02
CL-d0-XX-XX-d0-CL.TE,freetibet.org/,2,72,0,26,0,0,0.02
CL-80-XX-XX-80-CL.TE,www.uyghurnet.org/,2,74,0,24,0,0,0.02
CL-XX-0d-0d-XX-CL.TE,www.uyghurnet.org/,2,72,0,26,0,0,0.02
CL-ab-ab-XX-XX-CL.TE,freetibet.org/,2,70,0,28,0,0,0.02
CL-XX-9d-9d-XX-CL.TE,freetibet.org/,2,75,0,23,0,0,0.02
CL-XX-ae-XX-ae-CL.TE,freetibet.org/,2,65,0,33,0,0,0.02
TE-XX-b2-b2-XX-TE.CL,freetibet.org/,2,74,0,24,0,0,0.02
CL-XX-XX-9e-9e-CL.TE,freetibet.org/,2,71,0,27,0,0,0.02
CL-XX-e1-e1-XX-CL.TE,www.uyghurnet.org/,2,81,0,17,0,0,0.02
CL-7f-XX-7f-XX-CL.TE,freetibet.org/,2,78,0,20,0,0,0.02
TE-0f-XX-0f-XX-TE.CL,freetibet.org/,2,72,0,26,0,0,0.02
TE-endspacexn-20-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
CL-XX-XX-13-13-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
TE-postspace-09-TE.CL,freetibet.org/,2,78,0,20,0,0,0.02
CL-af-af-XX-XX-CL.TE,www.uyghurnet.org/,2,69,0,29,0,0,0.02
CL-XX-de-de-XX-CL.TE,www.uyghurnet.org/,2,80,0,18,0,0,0.02
CL-da-XX-da-XX-CL.TE,www.uyghurnet.org/,2,76,0,22,0,0,0.02
CL-XX-0b-XX-0b-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
TE-a0-a0-XX-XX-TE.CL,www.uyghurnet.org/,2,73,0,25,0,0,0.02
